"Sexe"	"Prénom"	"Nom"	"Groupe"	"Département.d.élection"	"Num.circonscription"	"Commission.permanente"	"Twitter"
"M."	"Gérald"	"Darmanin"	"UMP"	"Nord"	10	"Affaires culturelles et éducation"	"gdarmanin"
"M."	"Gérard"	"Bapt"	"SRC"	"Haute-Garonne"	2	"Affaires sociales"	NA
"M."	"Gérard"	"Charasse"	"RRDP"	"Allier"	3	"Affaires étrangères"	NA
"M."	"Gérard"	"Cherpion"	"UMP"	"Vosges"	2	"Affaires sociales"	"GerardCherpion"
"M."	"Gérard"	"Sebaoun"	"SRC"	"Val-d'Oise"	4	"Affaires sociales"	"GerardSebaoun"
"M."	"Gérard"	"Terrier"	"SRC"	"Moselle"	1	"Affaires étrangères"	NA
"M."	"Germinal"	"Peiro"	"SRC"	"Dordogne"	4	"Affaires économiques"	"GerminalPeiro"
"M."	"Gilbert"	"Le Bris"	"SRC"	"Finistère"	8	"Défense"	"GilbertLebris"
"M."	"Gilbert"	"Collard"	"NI"	"Gard"	2	"Lois"	"GilbertCollard"
"M."	"Gilbert"	"Sauvan"	"SRC"	"Alpes-de-Haute-Provence"	1	"Développement durable"	NA
"M."	"Gilles"	"Bourdouleix"	"UDI"	"Maine-et-Loire"	5	"Lois"	"GBOURDOULEIX"
"M."	"Gilles"	"Carrez"	"UMP"	"Val-de-Marne"	5	"Finances"	"GillesCarrez"
"M."	"Gilles"	"Lurton"	"UMP"	"Ille-et-Vilaine"	7	"Affaires sociales"	"gilleslurton"
"M."	"Gilles"	"Savary"	"SRC"	"Gironde"	9	"Développement durable"	NA
"Mme"	"Gisèle"	"Biémouret"	"SRC"	"Gers"	2	"Affaires sociales"	"GiseleBiemouret"
"M."	"Guénhaël"	"Huet"	"UMP"	"Manche"	2	"Affaires culturelles et éducation"	NA
"M."	"Guillaume"	"Bachelay"	"SRC"	"Seine-Maritime"	4	"Finances"	"GBachelay"
"M."	"Guillaume"	"Chevrollier"	"UMP"	"Mayenne"	2	"Développement durable"	"gchevrollier"
"M."	"Guillaume"	"Larrivé"	"UMP"	"Yonne"	1	"Lois"	"glarrive"
"M."	"Guy"	"Chambefort"	"SRC"	"Allier"	1	"Défense"	"guychambefort"
