"Source"	"Target"
"annegrommerch"	"MichelLiebgott"
"annegrommerch"	"GerardCherpion"
"annegrommerch"	"JLBorloo"
"annegrommerch"	"fvannson"
"annegrommerch"	"B_Perrut"
"annegrommerch"	"blanc_etienne"
"annegrommerch"	"HerveMariton"
"annegrommerch"	"FrancoisFillon"
"annegrommerch"	"francoisbaroin"
"annegrommerch"	"nk_m"
"annegrommerch"	"olivier_carre"
"annegrommerch"	"jf_cope"
"annegrommerch"	"DeputeTardy"
"annegrommerch"	"xavierbertrand"
"annegrommerch"	"DeputeARobinet"
"annegrommerch"	"vpecresse"
"annegrommerch"	"laurentwauquiez"
"annick_leloch"	"BrunoLeRoux"
"annick_leloch"	"c_erhel_deputee"
"annick_leloch"	"JJUrvoas"
"Annick_Lepetit"	"JLGagnaire"
"Annick_Lepetit"	"chborgel"
"Annick_Lepetit"	"SeybahDagoma"
"Annick_Lepetit"	"pascalcherki"
"Annick_Lepetit"	"vpecresse"
"Annick_Lepetit"	"S_PIETRASANTA"
"Annick_Lepetit"	"sergiocoronado"
"Annick_Lepetit"	"Ayledain"
"Annick_Lepetit"	"S_Mazetier"
"Annick_Lepetit"	"LucetteLousteau"
"Annick_Lepetit"	"pierrealainmuet"
"Annick_Lepetit"	"OlivierMaud"
"Annick_Lepetit"	"FCarreyConte"
"Annick_Lepetit"	"JLBorloo"
"Annick_Lepetit"	"PompiliBarbara"
"Annick_Lepetit"	"G_ROUILLARD"
"Annick_Lepetit"	"faureolivier"
"Annick_Lepetit"	"Karine_Berger"
"Annick_Lepetit"	"yanngalut"
"Annick_Lepetit"	"Dhoffmanrispal"
"Annick_Lepetit"	"ma_chapdelaine"
"Annick_Lepetit"	"PouriaAmirshahi"
"Annick_Lepetit"	"nk_m"
"Annick_Lepetit"	"claudebartolone"
"Annick_Lepetit"	"PhilipCordery"
"Annick_Lepetit"	"nicolasbays"
"Annick_Lepetit"	"CorinneNara"
"Annick_Lepetit"	"jmgermain"
"Annick_Lepetit"	"mandonthierry"
"Annick_Lepetit"	"pbloche"
"Annick_Lepetit"	"jm_leguen"
"Annick_Lepetit"	"danielvaillant"
"Annick_Lepetit"	"olivierdussopt"
"Annick_Lepetit"	"JJUrvoas"
"Annick_Lepetit"	"DaSilvaCarlos91"
"Annick_Lepetit"	"jf_cope"
"Annick_Lepetit"	"CCaresche"
"Annick_Lepetit"	"laurentbaumel"
"Annick_Lepetit"	"BrunoLeRoux"
"Annick_Lepetit"	"FrancoisFillon"
"Annick_Lepetit"	"GBachelay"
"ar_leroy"	"c_capdevielle"
"ar_leroy"	"jvalax"
"ar_leroy"	"regisjuanico"
"ar_leroy"	"Lignierescassou"
"ar_leroy"	"yanngalut"
"ar_leroy"	"F_Verdier"
"ar_leroy"	"mandonthierry"
"ar_leroy"	"G_ROUILLARD"
"ar_leroy"	"olivierdussopt"
"ar_leroy"	"PouriaAmirshahi"
"ar_leroy"	"jmgermain"
"ar_leroy"	"CaroleDelga"
"ar_leroy"	"S_PIETRASANTA"
"ar_leroy"	"LucBELOT"
"ar_leroy"	"PotierDominique"
"ar_leroy"	"yvesjego"
"ar_leroy"	"LGRANDGUILLAUME"
"ar_leroy"	"nicolasbays"
"ar_leroy"	"patrickmennucci"
"ar_leroy"	"pbloche"
"ar_leroy"	"JYCaullet"
"ar_leroy"	"SeybahDagoma"
"ar_leroy"	"CECKERT56"
"ar_leroy"	"Valerie_Rabault"
"ar_leroy"	"S_Mazetier"
"ar_leroy"	"CCaresche"
"ar_leroy"	"claudebartolone"
"ar_leroy"	"PhilippeNauche"
"ar_leroy"	"CorinneNara"
"ar_leroy"	"Karine_Berger"
"ar_leroy"	"nk_m"
"ar_leroy"	"faureolivier"
"ar_leroy"	"sergiocoronado"
"ar_leroy"	"JJUrvoas"
"ar_leroy"	"BrunoLeRoux"
"ar_leroy"	"GBachelay"
"ar_leroy"	"VincentFeltesse"
"ar_leroy"	"PhilipCordery"
"ArnaudRichard_"	"GeorgesFENECH"
"ArnaudRichard_"	"sy_berrios"
"ArnaudRichard_"	"SoniaLagarde"
"ArnaudRichard_"	"ASantini_UDI"
"ArnaudRichard_"	"PhilippeGomesCE"
"ArnaudRichard_"	"MauriceLeroy"
"ArnaudRichard_"	"DubyMuller"
"ArnaudRichard_"	"jjguillet"
"ArnaudRichard_"	"B_Perrut"
"ArnaudRichard_"	"VigierPhilippe"
"ArnaudRichard_"	"JCFromantin"
"ArnaudRichard_"	"PompiliBarbara"
"ArnaudRichard_"	"FrancoisFillon"
"ArnaudRichard_"	"yvesjego"
"ArnaudRichard_"	"HerveMariton"
"ArnaudRichard_"	"GillesCarrez"
"ArnaudRichard_"	"jclagarde"
"ArnaudRichard_"	"jfpoisson78"
"ArnaudRichard_"	"Herve_Morin"
"ArnaudRichard_"	"JLBorloo"
"ArnaudRichard_"	"lauredlr"
"ArnaudRichard_"	"LucChatel"
"ArnaudRichard_"	"vpecresse"
"ArnaudRichard_"	"warsmann"
"ArnaudRichard_"	"benoistapparu"
"ArnaudRichard_"	"nk_m"
"ArnaudRichard_"	"laurentwauquiez"
"ArnaudRichard_"	"jf_cope"
"ArnaudRichard_"	"DeputeTardy"
"ASantini_UDI"	"Patrick_Balkany"
"ASantini_UDI"	"MPironDepute"
"ASantini_UDI"	"ArnaudRichard_"
"ASantini_UDI"	"PhilippeGomesCE"
"ASantini_UDI"	"damienabad"
"ASantini_UDI"	"SoniaLagarde"
"ASantini_UDI"	"philippefolliot"
"ASantini_UDI"	"gilleslurton"
"ASantini_UDI"	"benoistapparu"
"ASantini_UDI"	"cestrosi"
"ASantini_UDI"	"DeputeTardy"
"ASantini_UDI"	"rudysalles"
"ASantini_UDI"	"jf_cope"
"ASantini_UDI"	"nk_m"
"ASantini_UDI"	"vpecresse"
"ASantini_UDI"	"laurentwauquiez"
"ASantini_UDI"	"claudebartolone"
"ASantini_UDI"	"jclagarde"
"ASantini_UDI"	"yvesjego"
"ASantini_UDI"	"JCFromantin"
"ASantini_UDI"	"JLBorloo"
"ASantini_UDI"	"Herve_Morin"
"ASantini_UDI"	"MauriceLeroy"
"ASantini_UDI"	"VigierPhilippe"
"ASantini_UDI"	"sauvadet"
"aveccrozon"	"MichelLiebgott"
"aveccrozon"	"PhilippeBIES"
"aveccrozon"	"PhilippeDuron"
"aveccrozon"	"fpupponi"
"aveccrozon"	"jvlody"
"aveccrozon"	"jccambadelis"
"aveccrozon"	"MichelVERGNIER"
"aveccrozon"	"CCastaner"
"aveccrozon"	"elisabethguigou"
"aveccrozon"	"S_Mazetier"
"aveccrozon"	"MathieuHanotin"
"aveccrozon"	"CorinneNara"
"aveccrozon"	"ebareigts"
"aveccrozon"	"fredariege"
"aveccrozon"	"LGRANDGUILLAUME"
"aveccrozon"	"ElisabethPochon"
"aveccrozon"	"BrunoLeRoux"
"aveccrozon"	"ValCorre2012"
"aveccrozon"	"PotierDominique"
"aveccrozon"	"Vauzelle"
"aveccrozon"	"pascalcherki"
"aveccrozon"	"pyleborgn"
"aveccrozon"	"claudebartolone"
"aveccrozon"	"JJUrvoas"
"aveccrozon"	"jm_leguen"
"aveccrozon"	"guychambefort"
"aveccrozon"	"ar_leroy"
"aveccrozon"	"yanngalut"
"aveccrozon"	"PhilippeNogues"
"aveccrozon"	"CECKERT56"
"aveccrozon"	"PhilipCordery"
"aveccrozon"	"Valerie_Rabault"
"aveccrozon"	"PatricePrat"
"aveccrozon"	"PouriaAmirshahi"
"aveccrozon"	"marcelrogemont"
"aveccrozon"	"MichelPouzol"
"aveccrozon"	"Rihan_Cypel"
"aveccrozon"	"MoniqueIborra"
"aveccrozon"	"henrijibrayel"
"aveccrozon"	"patrickmennucci"
